date,season,city,tmin,tmax,tavg,precipitation,wind_speed,humidity,pressure
6/22/2000,Summer,Gilgit,14.3,26.4,21.3,1,2.6,76,1008.4
6/23/2000,Summer,Gilgit,15.7,27.3,22.4,1.6,1.8,71,1008.6
6/24/2000,Summer,Gilgit,15.4,28.8,23.4,0,1.9,63,1006.8
6/25/2000,Summer,Gilgit,20.1,31.2,26.4,0,3.2,44,1006.5
6/26/2000,Summer,Gilgit,22.7,32.2,27.9,0,2.1,41,1005.5
6/27/2000,Summer,Gilgit,22.3,32.3,27.8,0,2.1,44,1005.9
6/28/2000,Summer,Gilgit,20.4,32.7,27.3,0,2.4,49,1006.6
6/29/2000,Summer,Gilgit,21.5,30,26.1,6,2.8,63,1007.8
6/30/2000,Summer,Gilgit,16.8,28.1,23.3,7,3.3,76,1008.3
7/1/2000,Summer,Gilgit,18,27.4,22.7,4.8,3,77,1009
7/2/2000,Summer,Gilgit,18.6,26.3,22.4,6.3,2.9,79,1009.2
7/3/2000,Summer,Gilgit,17.2,27,22.3,3.1,2.6,78,1009.2
7/4/2000,Summer,Gilgit,19,27.8,23.3,5.4,1.8,72,1010.3
7/5/2000,Summer,Gilgit,16.4,29.3,23.8,0.7,2.8,71,1009.6
7/6/2000,Summer,Gilgit,20.6,30.9,25.7,6.4,3.1,64,1007.4
7/7/2000,Summer,Gilgit,19.1,29.2,25.1,5,3,67,1007.5
7/8/2000,Summer,Gilgit,18.5,30.6,25.3,3.6,2.5,65,1006.3
7/9/2000,Summer,Gilgit,19.6,32.3,27.6,0,3.3,53,1002.7
7/10/2000,Summer,Gilgit,24,32,28,2,2.9,54,1000.8
7/11/2000,Summer,Gilgit,22.7,31.1,27,3.3,2.9,58,1003
7/12/2000,Summer,Gilgit,21,31,25.9,4.5,3.3,67,1005.8
7/13/2000,Summer,Gilgit,20.6,29.3,25,8.7,2.7,73,1007.6
7/14/2000,Summer,Gilgit,20.8,29.7,25.2,6,2.4,71,1006.4
7/15/2000,Summer,Gilgit,20,29.1,24.6,5.6,2.5,73,1005.2
7/16/2000,Summer,Gilgit,19.6,28.7,24.2,9.6,3.5,72,1004.5
7/17/2000,Summer,Gilgit,20.1,25.2,22.7,7.5,3.1,72,1006.5
7/18/2000,Summer,Gilgit,19.8,27.2,23.7,4.6,3.3,66,1005.7
7/19/2000,Summer,Gilgit,16.8,30.9,26.1,0.2,3,53,1003.7
7/20/2000,Summer,Gilgit,22.8,28.5,26.2,0,2.9,50,1005.8
7/21/2000,Summer,Gilgit,18.6,31,26,1.5,3.6,61,1006.5
7/22/2000,Summer,Gilgit,22.4,30.9,26.1,6.8,4.2,65,1006
7/23/2000,Summer,Gilgit,22,26.9,23.9,16,3.7,80,1007.4
7/24/2000,Summer,Gilgit,20.4,25.5,22.7,14,3.4,83,1007.1
7/25/2000,Summer,Gilgit,19.7,28.4,23.9,5,3.5,76,1008.2
7/26/2000,Summer,Gilgit,20,30.1,25.7,1.1,3.3,61,1007.8
7/27/2000,Summer,Gilgit,20.7,31.8,27.3,0,3.1,52,1006
7/28/2000,Summer,Gilgit,20.1,32.5,27.9,0,2.6,54,1006.3
7/29/2000,Summer,Gilgit,22.8,33.4,29.2,0,1.8,53,1006.3
7/30/2000,Summer,Gilgit,22,31.5,27.4,2.3,2.9,69,1006.5
7/31/2000,Summer,Gilgit,20.5,28.1,24.4,10.9,2.9,84,1005.5
8/1/2000,Summer,Gilgit,18.6,27,23,7.3,2.9,78,1005
8/2/2000,Summer,Gilgit,17.2,25.6,21.1,7.2,3.3,80,1007.4
8/3/2000,Summer,Gilgit,14.8,27.4,21.8,1.1,2.6,72,1007.8
8/4/2000,Summer,Gilgit,17.3,27.6,22.9,0.9,2.8,71,1009.7
8/5/2000,Summer,Gilgit,17,30.2,24.8,0,2.1,64,1009.9
8/6/2000,Summer,Gilgit,21.5,30.7,26.5,0.5,2.5,53,1008.1
8/7/2000,Summer,Gilgit,20,30.3,25.8,0.8,2.5,60,1009.5
8/8/2000,Summer,Gilgit,16.9,30.2,24.6,4.3,2.4,72,1009.7
8/9/2000,Summer,Gilgit,17.9,29.2,24.6,6.7,2.4,69,1008.1
8/10/2000,Summer,Gilgit,18.5,26.7,22.7,8.5,3.4,77,1009.4
8/11/2000,Summer,Gilgit,20.4,27.1,23.6,3.1,3.4,75,1010.4
8/12/2000,Summer,Gilgit,18.9,27.1,23.3,10.3,2.8,77,1011.5
8/13/2000,Summer,Gilgit,20.1,26.8,23,12.6,2.5,78,1013.6
8/14/2000,Summer,Gilgit,19.3,26.8,22.5,8.9,2.2,80,1012.2
8/15/2000,Summer,Gilgit,18.7,27.1,22.4,3.6,2.3,79,1010.2
8/16/2000,Summer,Gilgit,15.3,27.6,22.8,0.8,2.6,76,1008.5
8/17/2000,Summer,Gilgit,16.3,28.7,23.3,3.3,2.5,75,1006.5
8/18/2000,Summer,Gilgit,17.7,24.5,21.7,16,2.2,77,1010.2
8/19/2000,Summer,Gilgit,17.6,25.8,22,7.8,1.5,68,1014
8/20/2000,Summer,Gilgit,15.5,27.4,22.9,1.6,2.6,68,1011.8
8/21/2000,Summer,Gilgit,15.5,26.2,21.6,5.3,2.1,76,1010
8/22/2000,Summer,Gilgit,17.8,25.2,21.1,10.6,1.8,76,1013.1
8/23/2000,Summer,Gilgit,13,26.1,20.6,4.4,2.7,78,1014.8
8/24/2000,Summer,Gilgit,14.1,27.3,21.6,1,2.5,75,1013.6
